winrate,win
37.55712808057166,0.0
5.537651589632862e-120,0.0
100.0,1.0
100.0,1.0
99.9999999999366,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
7.9458036751034e-80,1.0
1.7149756055764206e-38,0.0
100.0,1.0
4.1344480476560246e-29,0.0
100.0,1.0
4.195611432095357e-07,0.0
4.363478353799109e-27,0.0
2.1818302520507378e-44,0.0
100.0,1.0
3.2931967116002694e-47,0.0
6.748560592693238e-35,0.0
100.0,1.0
100.0,1.0
3.562049394307671e-23,1.0
100.0,1.0
100.0,1.0
7.682985345348092e-92,0.0
100.0,1.0
5.810008899894081e-129,0.0
9.883719708267305e-75,0.0
1.3468981890199111e-18,1.0
100.0,1.0
100.0,1.0
3.7694376440737765e-39,0.0
8.777160557657999e-73,0.0
100.0,1.0
4.82960075950633e-11,1.0
0.0012634755619286707,0.0
1.0415472397781426e-35,0.0
3.1397905057706707e-96,0.0
8.350115290814382e-49,0.0
100.0,1.0
100.0,1.0
100.0,1.0
99.99999675065898,0.0
1.467666408291178e-18,0.0
100.0,1.0
100.0,1.0
2.5534087379471215e-87,0.0
100.0,1.0
100.0,1.0
2.32662693076984e-09,0.0
100.0,1.0
3.2550315143043275e-13,0.0
100.0,1.0
1.604973985985056e-75,0.0
100.0,1.0
100.0,1.0
1.8563548373892804e-15,0.0
2.876464550260009e-57,1.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,0.0
3.289166518544837e-21,0.0
