winrate,win
1.0928535247026123e-11,1.0
100.0,1.0
100.0,1.0
99.99954832599529,1.0
3.7797093748487133e-23,0.0
100.0,1.0
4.466225486361522e-49,0.0
100.0,1.0
99.99939092089564,1.0
4.26238004829655e-58,0.0
100.0,1.0
100.0,1.0
8.758999193509912e-57,0.0
31.47331466777953,0.0
2.661887877927847e-53,0.0
1.0952510253172752e-25,0.0
4.254351956268843e-62,0.0
4.817388991967517e-79,0.0
4.490131861180393e-40,0.0
3.5403430512509615e-49,0.0
5.119318834828945e-25,0.0
100.0,0.0
8.87787200639972e-97,0.0
4.0814506050524476e-38,0.0
100.0,1.0
100.0,1.0
3.806574267067201e-97,0.0
1.0830110882298081e-10,1.0
100.0,1.0
4.489617009427929e-84,0.0
2.2986310975296744e-43,1.0
100.0,1.0
2.617180436407433e-47,1.0
97.83206594540901,0.0
100.0,1.0
0.007474022616655082,0.0
99.99999999845757,1.0
1.9545493955049662e-45,0.0
1.363990536423522e-85,0.0
2.4115412653527034e-86,0.0
100.0,0.0
100.0,1.0
1.1034035942028876e-32,0.0
1.3037727771827383e-124,0.0
100.0,0.0
1.1525324858778066e-177,0.0
5.956900820594629e-77,0.0
