winrate,win
8.987492849335816e-118,0.0
2.5316622443968e-162,0.0
100.0,1.0
7.228741338514578e-136,0.0
5.6583188013198346e-204,0.0
0.0,0.0
100.0,1.0
0.0,0.0
9.042383364996886e-228,0.0
100.0,1.0
0.0,0.0
2.1464819415322016e-278,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.8178749240945783e-94,0.0
99.99998359722872,1.0
1.5855921574133426e-130,0.0
1.150730065528764e-112,0.0
2.6689072980950437e-223,0.0
100.0,0.0
2.345531241216936e-100,0.0
100.0,1.0
100.0,1.0
3.6879048430369314e-90,0.0
100.0,1.0
1.1286746676005655e-295,0.0
7.720994589130936e-47,0.0
4.4033926177521254e-125,0.0
100.0,1.0
3.1353227056412383e-19,0.0
100.0,1.0
100.0,1.0
8.153502973362843e-219,0.0
100.0,1.0
2.469515671818867e-53,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
6.08666550575405e-47,0.0
3.2516670698357535e-125,0.0
6.533198226887805e-214,0.0
100.0,1.0
100.0,1.0
100.0,1.0
4.2479663024569265e-77,0.0
4.3676647910409873e-110,0.0
1.9211573323590024e-228,0.0
52.07153768044724,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.1867626830873003e-242,0.0
1.685281544407895e-268,0.0
100.0,1.0
3.282091307894757e-173,0.0
100.0,1.0
100.0,1.0
2.1314753147799042e-216,0.0
1.886703565047454e-138,0.0
100.0,1.0
100.0,1.0
2.6728302668658466e-64,0.0
100.0,1.0
3.216555251403461e-129,0.0
4.480812475259314e-89,0.0
100.0,0.0
1.1165208735938143e-78,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.1480853616808912e-99,0.0
2.0491037956393391e-13,0.0
100.0,1.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
7.717434312871516e-104,0.0
1.4656435651771853e-143,0.0
2.5062835905957895e-237,0.0
1.8799163576466642e-33,0.0
100.0,1.0
100.0,1.0
100.0,1.0
4.566131144385829e-287,0.0
