tier,rank,summonerId,summonerName
DIAMOND,III,QLSCnP88f6D5qfXFLBGMw5-YnIbMwoDilQ4r0O2eoDpSSEk,곰발은슭곰발
DIAMOND,III,ZdEx_Ygn8ahXBIW_2tZNB_l7lp8I_bUV4hfpywnghTjUqdmJ,경상도는 죽었다
DIAMOND,III,ITSnbyXJdnROkSHUqLQ4MXTvVCTICu92P01xMqp0VxUVbdA,식  풍
DIAMOND,III,UTQATD74SV5juH1_2lg0nUlN_8GB2Pz2nZAz4W0LawpH6hyR,야옹야옹송아지
DIAMOND,III,ML2UugtIHXx1W9UKkogO-BQHMAsHYbxhYF5kwWyMGo3xUTy9,상어 코 때리기
DIAMOND,III,nxI6BzUWQeFOKPXGKC7X6XneLL01-JPNAl5BKHyTGH23M5s,Shohoku Rukawa
DIAMOND,III,xjtWZb0hfGN9xjcEo6k5iFv6o9TCF5XHxzcEpsLMpDEVOzw,Assist Kill
DIAMOND,III,SCbjSy5PCnW367YWaSWcAl4on2XYAUZtAPF81uhfpqyIPHGC,너 점수 달아
DIAMOND,III,nYEzLVxQHUuFTd_GveMtgvKPpW8LrMD6C_kkrJXDupcru_64,지파장
DIAMOND,III,9gks3DsobzaDrBSGsUVGqStWN8G3wQ9GgJHfaowN03UxMdM,우치하 현재
DIAMOND,III,xKHpwDXtrmao8qKvc9qyVTYUT3cPFPbHyHvX8LWajrLd90cI,졍 앙
DIAMOND,III,SMgfJEMp9jugvvku9azVBX1aRc62L4GBYmH1T45DUSKDB6co,메일혐오자
DIAMOND,III,ChUFUaCADWtqPrueOg9GLmC0aj0LjTDam5ZEtOymiAIBgOzY,베짱이
DIAMOND,III,ZKJXxzVVzCLgGic8rHecqylWPs51Nh7sezUp-4jof-5-caZE,38지주
DIAMOND,III,fGjn6FxDS0EhqUUSQcwygvjLQE2EI_uT7wQY0B0Hoc9XCRbi,홍성훈 굉장하다
DIAMOND,III,-uAkEf48gOre25DETVdehgp5X8ueBJhZCqIWPLIB9gSIgAw,망 파
DIAMOND,III,fxlqgJ5zV1MgD3gO_7_DZiBtLo-uEg9HMJWOgw-YjdgQj_s,23년생원딜러
DIAMOND,III,157i4_qYxV3Z8_bPicMjkTB_Qe0Iciht5R0HbEvgRzl5juhv,HzDns
DIAMOND,III,K2G_6TeJ_hW3GXrjkEVxokuO3FvFMC1HtTDnjIIomhHEyXM5,zl존Er락DARK왕
DIAMOND,III,jeOKKvnMg5WREaACoLkldIB_KqCixIdoaZIEqLxMlgtae7QV,kimddabu
DIAMOND,III,ZknGToqJ4cpoIPuhp_C1PD6XRijvzY1IIHfRbvlhB28_N7LR,소원을 빌어요
DIAMOND,III,Wqiw8-HcSJWS9V9rT_acFtBKWh6MZsr1wV5eAu8p0-rBMk8V,잠시만놀게
DIAMOND,III,B3TwJQNdpP5QqT3QPhu7nz6_Dyz5odsG7pxS9czsrp1k6fs1,Round One
DIAMOND,III,dUnX0iU9FHrXnfFk-QAinjH5hwbrerLKxdn_Iv06m_RI5GDZ,쥰내귀여워유
DIAMOND,III,m3ejktq3C81eGtyH1YYOSxhE4qWfE__9bPU9Iybryil0GMPB,대비책
DIAMOND,III,PczwjchEdmrtakBxs9UNQSgTRwK5Rk5uhVrW-E4JrjUJ8erd,기억하고 싶던 날
DIAMOND,III,_8MbRfhwtx5qMDHVvC6jq9EKS7fuhgO6d7y-jwCguY9VaY88,Arial
DIAMOND,III,y_kLpIYRCcXwBxFJSx0v9mQGXfBs2MH9H7fVzDNkKHcsn6oc,Vex or Alise
DIAMOND,III,nPWiP1-D-qv7bKka3S8fSA3xOmZRuPAPhKgrXT7LuFOa2UxS,오뚜기300분미트볼
DIAMOND,III,rJUidaTmhrdq15xTZ6tZlGMIHQbmL_B0KivDSCAFofEqnUk,5코3성람머스
DIAMOND,III,BA-rSyuYhW3sdSxmnHPx7TLI4fs3NZ-12ZmCRInYLOFl1nDD,T1 Taemin
DIAMOND,III,O7Z_OBrfow3cPXbbsfu7DjHf8IJTk2ctpr1cKfez4Tux1Pan,마스터이금비
DIAMOND,III,ZFza5sQQrbkU2nGWjLsto3pQs8T2znM2fgDmPZ9ACHvHD1-p,농태준
DIAMOND,III,tV3hMxg_axwWCgXQuVx3tGJVRrDufY_rigIBDbGHL0j8ieBj,방금쿵소리남
DIAMOND,III,K4CC6cy-VjEZL45smdzd20grLa4I4cy3N_2_X-Xu-fpktj4c,MVP 0R ACE
DIAMOND,III,N8lr2HTFAp2532j_RTmJJAGm6Qnsed33m56qc9fnsg7wSJ26,욱하지않기
DIAMOND,III,BmBgsbXsBlis9vVK3qhYjO8KDpDVpJrGC-Br0y7Q1YHdsyjw,백 산
DIAMOND,III,fI5PbkOKvwIsLL0pdaEKQ6hhBsgq3bSFga7dLAOX_SgQL7jG,류 시 경
DIAMOND,III,AtOqQTRR_7_HIhw_zCbMCjiKc-VR1SFBgrPVCapkTlTdUi0,짱 떡
DIAMOND,III,A7eoDZjMJsmR1_nig83DP48uvxqlkbxbqAPFbN2ucGkv9qvf,종과 금화
DIAMOND,III,4kThnWrSwGrWr_dP97_3paGzEY74cnsXCOblzUyENb5o-1ZK,끝부터 처음까지
DIAMOND,III,KVfbrcQ6MRXRyl0lhzjeYUlGTmZOE9zizR-iwJUdf1-QuSbb,신에게 기도를
DIAMOND,III,Qr6a-4Rs2Pr_yIuITy4-APIb8FZeDnLGOdQ6ANLMm2Pmg7Lu,잘키운미드
DIAMOND,III,Wc99ayOEz0h9mh-CQzhsrNL0Fvv9skHuc7G2EoyEMlWx3sA,이렇게까지해야하
DIAMOND,III,39wjhx3pA8YyPoG8wGbAE6TsZVKLGsrytfiEjG4vs6f_9Jba,결속 신뢰 협동
DIAMOND,III,ighbK1ueeKT4uOrvFMG_4PA5hrWAfoXWhJwSfKirqTAwZTY,noonootv123437
DIAMOND,III,9dYkQUUhk8mRD5zjyfq9xbjIVRYJKJXk9zX9pfIOxJSikZTB,문쪼기 화났네 또
DIAMOND,III,QFihYavKLNJkzHcSPDGJg7oc9Hii_3__gV_7Mbkvog8MFsA,Llmz
DIAMOND,III,oftSN8imkce9oSHru4zzyyp_qgnY46e_NmafXeIUHidpg9cv,perritos
DIAMOND,III,2kLLn-g7ooZP5oZ_k_ghLzNSnuAdCk6RrokZ9OC1y1I7izhN,꼴데롯데
DIAMOND,III,cIHhDo4k4SPsm7TQdQBweA72iZKH5SDFwtu2mNCuTcsiBuo,원딜인식개선
DIAMOND,III,7_WPAW6i-iOcKH0oRZy0egKhmk91MyBI0Po2aeTP-Uo-AgY,백설탕탕
DIAMOND,III,QMeJ6kGyHdplgp-iV4CiAQLHZWcJ6fNYaWYLQa4osJ20TMnK,낮잠zz
DIAMOND,III,ZE7CUY7K20LOJt2kxqGCfm9G9IsRptdMYrviY_cyxRHAfA8,탑라인만가는사람
DIAMOND,III,mJJog63jNFt1aGway_QLtOu36LFIsQTi4IqxuxtrWpgZhws,뻥이용
DIAMOND,III,RyMAcbvFg3Muc1wnImPwDlha4SNECiaMR-BV58PzQvPk6OrQ,Challenger of
DIAMOND,III,v7rP_s-FZg4vM17RrHqxnjVGLl12IXz3a5PNngh0RVn4YXAs,아이스악어청포도
DIAMOND,III,mrLj2toE3R2-6vgeYjAScA0VF-VS7AQnknZNdIWmeOII0ws,청 혈
DIAMOND,III,A4GwEtrCbmNUJuH_aooxb1L9MEQjUPM98fMpZaUT69UQ9J8E,와두콩
DIAMOND,III,Olzxz5RYKik7OiSfHbHs6LuJOvXXMKYeajsRGGTy0x71gZUB,돌진완
DIAMOND,III,6p2ErWEm2W2RMDpcUhunLfjvtVwxKh8UGzRWwOctGKEGWVOf,우르릉 콰앙
DIAMOND,III,isdgBR8S03CLNh6GEzi4V0Ndu0t3zTMNNJzqX5p2KcKfKjO5,Rebirth Cookie
DIAMOND,III,RXrJlRc-DFFGMgTpjxf9AOMxwacE2zo8q8D7bOIvKbKFpN9d,KR Combo lee sin
DIAMOND,III,e16sv7Bsa6mzFSDuUI4jXJx7iRsDH2imxLdRui999sLgXmz6,톡톡씹히는오렌지
DIAMOND,III,n1T-eKMYNRpPYXL45O_TF_7fAXgUh_HMw6js_-WNqN_d3lo7,Dramaturgy
DIAMOND,III,KgQAyIOF7Vf6ucEnWYFSy-30TIAIPhfJ08_ARwp0pmZUSPtG,climbclimb
DIAMOND,III,eEkkIRx65V5edyjfiCPjkgoB67a6gHGnpDfQ3RbOomm-aN8,응애 나 아기행성
DIAMOND,III,RYVegvQHsGv4QRyzdMcoJKj1e7duCN1p8Ewf7HM5mz0ce3js,보랄탁미르
DIAMOND,III,dYFnlN7ja62r-shDuduoazokR7pYxHntaLXJjS_5LJf7sErV,신병진
DIAMOND,III,rTlFbsohm_mDP3AhvjGpLay3sLHEccCnrxdirxcpWu2pRwnv,우연이 겹쳐 필연
DIAMOND,III,Y5AlgmpHPs2tAC3dmnKG3XdHemvIO7HQZwzXMjrIhbkVsKYp,zoezoezoezoezozo
DIAMOND,III,D1o9uRrAt5nB18dxlp3P11T2NFc752iKp7jST0SUUZiHNecf,쭈니뿌
DIAMOND,III,qIU9c65-9GzLP9wPCdPcB6BrnR5QLBF413pmA6zKcs7Q5I1n,렁 언
DIAMOND,III,GWQS-KMcFwOJxuzfZKQPY4RPV1lYqkxFssPgC_lAWTAjoxc,임영록
DIAMOND,III,Rody1f8fgpx7Mzj7dcxMOVr8iZmWEdEiZiXpuuYMoymG_gxX,정다연남자친구
DIAMOND,III,NTIQYHaERC0F6T_0irWMKMAuHqDfMQxLA1696f6fA29pSYRK,상큼이유진이
DIAMOND,III,9JcSfEKhlIcFbRfBUlqiqgfC4UlR7G83BqiOHr63KsCg5phE,웃긴데 슬프다
DIAMOND,III,hJcjgpN3NYjWeb8jGCLl4Y9grezbapI5jNS7l3OfCfAEfgA,자지잡놈
DIAMOND,III,uTVNuSZywmb2QzN1-cib7g9U9zRhIGnU5ICZ-aKkEbu4NUGw,Rost Mirror
DIAMOND,III,Fg09olpuZhgTxP3E1EraLvmCuz3ofx1v64mJdYQoYvNNp4WX,으뜸 원 미스 포
DIAMOND,III,oHN2nsi-Eq2AviYCVyQ2qfdSFMJAnTIqS7yCUQrMx6ZOIx0,yoha
DIAMOND,III,V62Joo8QJoXCegSWfe_wWN944B03LqnAEBcQvpYy_QL_FPc,마스터 미
DIAMOND,III,nsH4uw1UWpip67kyabd8ZMZge3jrBHvmScMIjIXBUHD4ido,DIANAI
DIAMOND,III,TRNmo-pf2UtJ6qK5R0vTUIVpQLpl-4qkHfzU0FK_jjNFuMx0,상호민교뜨뜨
DIAMOND,III,siMTt5NXyh2C6cRzHuWytksPEovdqC0shllPSjh9PushRX8-,승미니는못말려
DIAMOND,III,57s7HBG4kRyf6LyfN_eQkqvtg9-RU0JHMd6zQFAg7i0rgfA,Lilix
DIAMOND,III,jmu7PzEUGbongYf7nBZIRhCbs8Fq44xRxtvzOYKaoteTo-Y,BUBUZ
DIAMOND,III,W1Xo8hpSad-mokpyvnULNDFIFyMP5KaIOjhUs9jHlfPd5v9b,낭만닥터중동게이
DIAMOND,III,JNGYhVSWxYfdXQYBfMHaOMtw7ubsFZSUtfRZ21sbFDCPf2TL,지완두콩
DIAMOND,III,llUvtcWPXLA7WuXSpgkBXoRFbLmhRxOaRYP3lkvNNdPnHwU,시곗바늘아달려봐
DIAMOND,III,MFhdcFjy8y-rlk5OpW6CN-cS_7Kzw4KWK9Ui16Uzr8QojkiB,커리맛 똥
DIAMOND,III,FHAJQbo1216Sqc3pqbKi3HfVd-VLOiPs_ffREqIyBDGUTJuE,LEBLANCKlNG
DIAMOND,III,ivz192E7DyZLmYbuGAAh0jA-GgkerEtHzFmZW8i9gsjpMjte,염지원팬티도둑
DIAMOND,III,xmUjETHXhvXb2xPIDOcWhhLQSSr1ki91P1_U1_pV0azxgZI,하오골
DIAMOND,III,41yPAK91lcKGw2aCCoQBpQJz4LgGRijWV-YnlZ-oLXBaD-pF,숯불돼지고기
DIAMOND,III,rS4IcOWgVSR8iv-XR5mU6v-YXXZJZYzPU3vzEBUnjeIVrgOI,성민치
DIAMOND,III,V7bbtSUUya_XpJILiMKXONxOjn1KQ1UKaejO3Kva0LmCBk8,전혜성1
