winrate,win
100.0,1.0
2.698247380082492e-06,1.0
2.7417628945296695e-72,0.0
5.510054707901454e-66,0.0
6.237507932162616e-101,0.0
100.0,0.0
100.0,1.0
99.99999999999996,1.0
2.7119945843571687e-75,0.0
3.2234470884141075e-75,0.0
1.3144756426690404e-82,0.0
1.7933017846254502e-29,0.0
100.0,1.0
5.992953069130385e-77,0.0
100.0,1.0
1.2777579578679927e-115,1.0
100.0,1.0
100.0,1.0
6.192237342594047e-46,0.0
100.0,1.0
1.954226478797422e-76,0.0
100.0,1.0
0.00012436771475482709,1.0
4.137895328844795e-149,0.0
100.0,1.0
1.9664710420145721,0.0
1.494261366226698e-126,0.0
7.622511973848862e-25,0.0
1.0843740527055402e-114,0.0
4.627825057176563e-127,0.0
9.415928123633853e-29,0.0
100.0,1.0
99.99999761275978,0.0
4.315337603251843e-53,0.0
100.0,0.0
0.010764151748515834,1.0
6.3746568482052906e-18,0.0
100.0,1.0
100.0,1.0
8.95485376714374e-56,0.0
100.0,1.0
1.8117741042969671e-38,0.0
3.914986733241968e-31,0.0
100.0,1.0
100.0,1.0
1.5063131146957372e-66,0.0
2.907906551041678e-116,0.0
100.0,1.0
5.10172364375907e-29,1.0
1.3339867178993599e-67,1.0
100.0,0.0
100.0,1.0
100.0,1.0
2.154988928715551e-146,0.0
4.5181834585503406e-27,0.0
1.8586895499829465e-38,0.0
100.0,1.0
100.0,1.0
3.3465131367361925e-68,0.0
1.8040675809123896e-91,0.0
