0
Jayce
KSante
Ornn
Aatrox
Malphite
Jax
Fiora
Kayle
Darius
Nasus
Renekton
Illaoi
Camille
Gangplank
Irelia
Yone
Sion
Rumble
Gnar
Olaf
Gragas
Riven
Shen
Poppy
Rengar
Volibear
Mordekaiser
Maokai
Gwen
Kennen
Garen
Kled
Sett
Pantheon
Warwick
Vladimir
Zac
