0
LeeSin
Nidalee
Khazix
Sylas
JarvanIV
Viego
Elise
Gragas
Graves
MasterYi
Kindred
Ekko
Hecarim
Karthus
Kayn
Zac
Vi
Belveth
Poppy
Shaco
Lillia
Evelynn
FiddleSticks
Amumu
MonkeyKing
Neeko
RekSai
Nunu
Sejuani
Maokai
XinZhao
Nocturne
