0
Thresh
Karma
Nautilus
Rakan
Blitzcrank
Milio
Lulu
Pyke
Yuumi
Leona
Senna
Xerath
Lux
Amumu
Alistar
Morgana
Soraka
Braum
Maokai
Heimerdinger
Rell
Bard
Swain
Zilean
Zyra
