0
Ahri
Yasuo
Leblanc
Zed
Yone
Sylas
Katarina
Viktor
Irelia
Talon
Akshan
Zoe
Lissandra
Syndra
AurelionSol
Akali
TwistedFate
Vex
Cassiopeia
Pantheon
Fizz
Ekko
Anivia
Qiyana
Galio
Rumble
Orianna
KSante
Azir
