winrate,win
100.0,1.0
1.1158016278147584e-23,0.0
100.0,1.0
100.0,1.0
100.0,1.0
1.3981572808184107e-51,0.0
100.0,1.0
100.0,1.0
4.509585866893107e-44,0.0
6.780837350655636e-15,0.0
100.0,1.0
0.24320305754698834,1.0
100.0,0.0
3.293144558762418e-72,0.0
100.0,1.0
3.581401895877036e-29,0.0
2.5537377085250775e-20,0.0
100.0,1.0
100.0,0.0
5.812879918373502e-128,1.0
100.0,1.0
99.999999999999,0.0
4.0186243469117466e-50,0.0
5.069211664831719e-38,0.0
98.76257290523999,1.0
100.0,0.0
1.0417487782806496e-36,0.0
1.0677957422944321e-58,0.0
1.4142155150616285e-68,1.0
6.829255461313186e-36,0.0
100.0,1.0
2.4650523647612535e-05,1.0
100.0,1.0
6.237443257541821e-25,0.0
100.0,1.0
9.326103830014527e-35,0.0
1.8294302357279155e-53,0.0
100.0,1.0
100.0,1.0
100.0,1.0
9.399472160579969e-20,1.0
100.0,1.0
1.4653368292249389e-55,0.0
3.482175831706023e-20,0.0
100.0,1.0
0.0014101294554141205,0.0
100.0,1.0
1.467730433725437e-86,0.0
100.0,1.0
100.0,1.0
6.562347953954995e-11,0.0
33.34972678634275,0.0
1.1685445833212392e-23,0.0
100.0,1.0
1.6328777999217974e-48,0.0
99.99999999622248,0.0
100.0,1.0
100.0,0.0
100.0,1.0
2.1309560854419622,0.0
1.9001841876525602e-44,1.0
3.6647639210494335e-146,0.0
99.9999722733351,1.0
100.0,1.0
