winrate,win
100.0,1.0
100.0,1.0
100.0,1.0
7.350842957828147e-70,0.0
100.0,1.0
99.88931440802129,1.0
1.0838310169830786e-45,0.0
1.2535761696018928e-48,0.0
9.177306113801835e-23,0.0
3.815556302150884e-54,0.0
100.0,1.0
100.0,0.0
100.0,1.0
99.52761632167268,0.0
8.079285073087913e-48,0.0
100.0,1.0
100.0,0.0
2.919509875457523e-17,0.0
1.0680511220039013e-95,0.0
1.9210805690821788e-30,0.0
9.494376173903476e-24,0.0
5.478604638877082e-48,0.0
7.698070385200432e-20,0.0
1.4589300959071924e-07,1.0
3.0789821052352195e-86,0.0
100.0,1.0
2.6579004824407505e-07,0.0
2.2590847187811264e-42,0.0
100.0,1.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
5.004942536015057e-39,0.0
1.3406542268469278e-06,0.0
1.2345475987615265e-17,0.0
8.095688229010297e-62,0.0
2.648211896899324e-88,0.0
1.4491017630773895e-21,0.0
100.0,1.0
0.0775422294159946,1.0
99.99997192062445,1.0
1.9006198187426578e-87,0.0
6.404617145413498e-12,0.0
6.760127173016886e-23,0.0
6.000878380523701e-53,0.0
100.0,0.0
3.8967350237847097e-19,0.0
100.0,1.0
99.9999529571962,0.0
100.0,0.0
100.0,1.0
2.0566993805658017e-55,0.0
99.9999059525852,1.0
100.0,1.0
1.237520703897959e-19,0.0
9.600004017681136e-05,1.0
100.0,1.0
100.0,1.0
100.0,1.0
0.04499332282631379,0.0
100.0,0.0
100.0,1.0
0.0035251037700263247,0.0
1.163866574518299e-16,0.0
100.0,1.0
