winrate,win
3.65680493033344e-24,0.0
1.559111590396733e-28,0.0
5.568100660556224e-13,0.0
1.7583390607248914e-23,0.0
1.763197727265682e-26,0.0
9.778811097912614e-11,0.0
99.9999999999947,1.0
99.99999999797294,1.0
1.1794070058810822e-07,0.0
2.3949969448468334e-22,1.0
1.4634722842303132e-24,0.0
8.945656730873387e-38,0.0
2.714767142467511e-32,0.0
99.99999999999989,1.0
99.99999998838956,1.0
100.0,1.0
1.9189617165038685e-41,0.0
9.172092273758093e-18,0.0
99.99963699405062,1.0
6.160324505687353e-14,1.0
99.99997272806517,1.0
100.0,1.0
99.99993238752066,1.0
44.67082678011731,1.0
5.893851618072209e-07,0.0
99.99656722660488,1.0
2.609905592650703e-23,0.0
7.640687487654608e-32,0.0
100.0,1.0
0.0419977434131463,0.0
99.99999876056832,0.0
2.522830616273541e-18,0.0
3.951492722424309e-14,0.0
