winrate,win
1.1995083741605174e-89,0.0
100.0,1.0
2.6221644445787662e-96,0.0
1.358027998005592e-65,0.0
1.2810009370105615e-13,0.0
100.0,1.0
100.0,1.0
6.066342023053127e-132,0.0
4.3237275554795465e-22,0.0
99.99999999999758,1.0
99.99999999721179,1.0
3.5255659944082205e-20,0.0
9.333014270749027e-46,0.0
2.4672904200914326e-41,0.0
3.4501895632775294e-37,0.0
99.9999999977676,1.0
1.81639177451837e-20,0.0
99.99999999973058,0.0
6.329365667598564e-112,0.0
4.535147357051871e-49,1.0
6.752258088522426e-73,0.0
100.0,1.0
5.5535369208898204e-64,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,0.0
99.95461292395942,1.0
100.0,1.0
2.9171724582043297e-64,0.0
4.938010709444226e-96,0.0
99.99999999999798,1.0
100.0,1.0
2.5599269696328335e-67,0.0
100.0,1.0
100.0,1.0
3.2649799359409986e-32,0.0
100.0,1.0
100.0,1.0
6.777813055520195e-09,1.0
100.0,1.0
1.4459000347904833e-86,0.0
3.0118396243660536e-42,0.0
100.0,1.0
