winrate,win
0.06209224064474936,0.0
99.99999495303076,1.0
2.783350379793308e-34,0.0
100.0,1.0
99.9987858175151,1.0
1.0910474501505984e-29,0.0
3.307292452652767e-13,0.0
7.016052304147361e-11,0.0
2.287714758840695e-06,1.0
100.0,0.0
1.827117161091419e-30,0.0
5.2356629085105275e-27,0.0
100.0,1.0
9.955677994548893e-29,0.0
99.99999999999956,1.0
2.1176448349306205e-12,0.0
100.0,1.0
1.9559079401925036e-22,0.0
99.99999761281867,1.0
2.4033169446850625e-74,0.0
0.002422131809724892,0.0
4.637885918430218e-18,1.0
8.434783497339148e-17,0.0
1.1405948532780382e-16,1.0
100.0,1.0
100.0,1.0
100.0,1.0
9.885559625223636e-27,0.0
5.964010354197067e-16,1.0
100.0,1.0
1.1049404570462068e-19,0.0
1.2197747987509848e-29,0.0
2.1347361936197837e-06,0.0
100.0,1.0
99.99999939730284,1.0
1.827029178025934e-11,0.0
99.9999180502174,1.0
100.0,0.0
4.503127269729068e-34,0.0
