winrate,win
100.0,1.0
1.677571494007982e-49,0.0
3.73289975296035e-17,0.0
79.72108217988598,1.0
7.656580100948368e-37,0.0
2.040863130775875e-10,1.0
100.0,1.0
7.9784407529201e-65,0.0
100.0,1.0
1.805247643398942e-23,0.0
100.0,1.0
1.4522750824878983e-07,1.0
8.351779351169885e-51,0.0
1.152117357064e-18,1.0
5.5667860348165664e-117,0.0
100.0,1.0
100.0,1.0
9.166212143533659e-48,0.0
4.377674303312904e-33,0.0
2.0815833797909777e-74,0.0
100.0,1.0
7.45154992985248e-56,0.0
100.0,1.0
5.9341423145695135e-18,0.0
4.2024610671703686e-09,0.0
9.158163618331059e-92,0.0
100.0,1.0
99.99999999999925,1.0
6.006019946535129e-76,0.0
9.898587225058032e-16,0.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
100.0,1.0
2.331725373704087e-56,0.0
1.4997058740358647e-110,0.0
5.322564614121433e-08,0.0
80.48845324811082,0.0
1.5794120327118044e-81,0.0
100.0,1.0
100.0,1.0
100.0,1.0
2.573288233742816e-28,0.0
100.0,1.0
100.0,1.0
100.0,1.0
99.9999991722872,1.0
1.145719477952907,0.0
1.999950329669907e-33,1.0
100.0,1.0
100.0,1.0
4.869315157608629e-44,0.0
8.38569665485053e-43,1.0
99.99999999778395,0.0
1.5757621482077033e-48,0.0
2.962622432067629e-48,0.0
1.23532440152823e-38,0.0
3.0712229642839457e-40,0.0
2.670457482549924e-11,1.0
2.850119456034035e-47,0.0
6.869894719344993e-17,0.0
3.812943821346248e-07,1.0
100.0,1.0
99.92735751903619,1.0
99.99999505481125,0.0
100.0,1.0
3.997757575034741e-24,1.0
7.956137174952385e-31,1.0
2.2440719886911425e-19,0.0
99.19907527984851,1.0
2.9946904740220324e-72,0.0
6.974327467204232e-31,0.0
100.0,1.0
100.0,1.0
4.391270421356543e-32,0.0
100.0,1.0
99.9999999994541,0.0
100.0,1.0
100.0,1.0
99.88027104616076,0.0
1.1224298631352139,0.0
2.8643722710659675e-17,1.0
99.82076777982155,0.0
3.542838478561635e-40,0.0
3.713627475107859e-60,0.0
99.99999374118134,0.0
100.0,1.0
100.0,1.0
2.4897386219128183e-10,1.0
7.748204968371323e-74,0.0
100.0,1.0
6.136967674318275e-23,0.0
99.99999866889058,0.0
100.0,1.0
100.0,1.0
4.486164083789668e-27,0.0
100.0,1.0
1.772434298316465e-43,0.0
99.99999999999814,1.0
3.839205264570073e-18,0.0
100.0,1.0
54.655269688633645,1.0
99.476541353853,1.0
100.0,1.0
